name,url,language,description
Resemble.js,https://github.com/rsmbl/Resemble.js,JavaScript,Image analysis and comparison
rethinkdb_rebirth,https://github.com/rethinkdb/rethinkdb_rebirth,C++,The open-source database for the realtime web.
revel,https://github.com/revel/revel,Go,"A high productivity, full-stack web framework for the Go language."
rshelljs,https://github.com/elouizbadr/rshelljs,JavaScript,A Node.js module that executes *nix Shell commands and returns real-time output.
saas,https://github.com/async-labs/saas,TypeScript,"Build your own SaaS business with SaaS boilerplate. Productive stack: React, Material-UI, Next, MobX, WebSockets, Express, Node, Mongoose, MongoDB. Written with TypeScript."
saleor,https://github.com/mirumee/saleor,Python,"A modular, high performance e-commerce storefront built with Python, GraphQL, Django, and ReactJS."
scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,scikit-learn: machine learning in Python
sentry,https://github.com/getsentry/sentry,Python,"Sentry is cross-platform application monitoring, with a focus on error reporting."
sound-redux,https://github.com/andrewngu/sound-redux,JavaScript,A Soundcloud client built with React / Redux
spectrum,https://github.com/withspectrum/spectrum,JavaScript,"Simple, powerful online communities."
spresso-search,https://github.com/JoshuaScript/spresso-search,TypeScript,"Visual metasearch engine built with TypeScript, React, Redux & Express"
swup,https://github.com/swup/swup,JavaScript,":tada: Complete, flexible, extensible and easy to use page transition library for your web."
system-design-primer,https://github.com/donnemartin/system-design-primer,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
techan,https://github.com/sdcoffey/techan,Go,Technical Analysis Library for Golang
Theano,https://github.com/Theano/Theano,Python,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It can use GPUs and perform efficient symbolic differentiation."
todomvc,https://github.com/tastejs/todomvc,JavaScript,"Helping you select an MV* framework - Todo apps for React.js, Ember.js, Angular, and many more"
tornado,https://github.com/tornadoweb/tornado,Python,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed."
typescript-starter,https://github.com/bitjson/typescript-starter,TypeScript,Quickly create and configure a new library or Node.js project
underscore,https://github.com/jashkenas/underscore,JavaScript,JavaScript's utility _ belt
v,https://github.com/vlang/v,Go,"Simple, fast, safe, compiled language for developing maintainable software. Supports translation from C and (soon) C++. Compiles itself in <1s. https://vlang.io"
victory,https://github.com/FormidableLabs/victory,JavaScript,A collection of composable React components for building interactive data visualizations
vscode-live-server,https://github.com/ritwickdey/vscode-live-server,TypeScript,Launch a development local Server with live reload feature for static & dynamic pages.
wagtail,https://github.com/wagtail/wagtail,Python,A Django content management system focused on flexibility and user experience
Winds,https://github.com/GetStream/Winds,HTML,A Beautiful Open Source RSS & Podcast App Powered by Getstream.io
yapf,https://github.com/google/yapf,Python,A formatter for Python files
you-get,https://github.com/soimort/you-get,Python,:arrow_double_down: Dumb downloader that scrapes the web
youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,Command-line program to download videos from YouTube.com and other video sites
yugabyte-db,https://github.com/YugaByte/yugabyte-db,C,"The high-performance distributed SQL database for global, internet-scale apps."
ZeroNet,https://github.com/HelloZeroNet/ZeroNet,Python,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network
zulip,https://github.com/zulip/zulip,Python,Zulip server - powerful open source team chat
